Winner,title_bout,weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_BODY_att,B_avg_BODY_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_KD,B_avg_LEG_att,B_avg_LEG_landed,B_avg_PASS,B_avg_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_att,B_avg_TD_landed,B_avg_TD_pct,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_longest_win_streak,B_losses,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_opp_KD,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_opp_PASS,B_avg_opp_REV,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_opp_SIG_STR_pct,B_avg_opp_SUB_ATT,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_opp_TD_pct,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_BODY_att,R_avg_BODY_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_KD,R_avg_LEG_att,R_avg_LEG_landed,R_avg_PASS,R_avg_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_att,R_avg_TD_landed,R_avg_TD_pct,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_longest_win_streak,R_losses,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_opp_CLINCH_att,R_avg_opp_CLINCH_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_opp_HEAD_att,R_avg_opp_HEAD_landed,R_avg_opp_KD,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_opp_PASS,R_avg_opp_REV,R_avg_opp_SIG_STR_att,R_avg_opp_SIG_STR_landed,R_avg_opp_SIG_STR_pct,R_avg_opp_SUB_ATT,R_avg_opp_TD_att,R_avg_opp_TD_landed,R_avg_opp_TD_pct,R_avg_opp_TOTAL_STR_att,R_avg_opp_TOTAL_STR_landed,R_total_rounds_fought,R_total_time_fought(seconds),R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
0,True,Bantamweight,5,0.0,,,9.2,6.0,0.2,,,20.6,,2.0,,,,7.6,,,,65.4,22.6,0.466,,,,,,23.6,4.0,1.0,6.4,,1.0,0.6,51.2,,0.6,0.2,39.6,9.4,0.2,,,0.0,0.0,52.8,18.2,0.236,,,0.4,0.1,53.8,19.2,9.0,,0.0,0.0,1.0,,2.0,1.0,,4.0,,167.64,170.18,,,4.0,0.0,,16.4,17.0,11.0,75.0,,9.4,6.5,74.2,23.9,,5.3,3.7,1.2,0.0,101.4,,0.466,,5.3,1.9,0.458,129.9,69.1,,2.0,13.3,,7.5,5.1,90.5,26.8,,0.3,76.1,17.3,0.1,,6.1,,,,32.2,0.336,0.0,0.9,0.1,,,43.3,,742.6,,,,,2.0,,0.0,8.0,,162.56,162.56,,,32.0
0,True,Women's Flyweight,,0.0,3.0,0.0,14.6,9.1,11.8,7.3,124.7,,2.4,1.9,112.0,32.0,,,,,0.0,138.9,51.3,0.399,0.7,1.0,,0.225,158.7,69.6,3.0,6.0,13.0,9.3,12.8,,,32.0,8.1,,97.7,,0.1,11.9,,1.4,0.0,122.6,48.5,,0.7,2.3,0.9,,,,,,0.0,0.0,2.0,1.0,,,,4.0,,,,,0.0,,0.0,12.0,7.7142857142857135,9.285714285714286,6.857142857142858,88.14285714285714,36.142857142857146,,16.428571428571427,,,0.0,19.285714285714285,,1.7142857142857142,0.14285714285714285,115.85714285714286,59.42857142857143,0.5757142857142856,,,2.4285714285714284,0.6014285714285714,161.57142857142858,,2.0,2.0,,,10.571428571428571,7.857142857142858,98.57142857142857,32.57142857142857,6.428571428571429,4.285714285714286,61.85714285714285,12.428571428571427,0.0,,,1.1428571428571428,0.0,115.57142857142857,44.714285714285715,,,3.2857142857142856,,0.14714285714285716,,82.28571428571429,25.0,1062.0,,0.0,1.0,2.0,0.0,2.0,0.0,,,,,,32.0,
0,False,,3,0.0,3.0,0.0,15.35483870967742,11.32258064516129,,4.387096774193549,,38.58064516129032,5.516129032258066,,67.64516129032258,23.258064516129032,0.6451612903225806,14.0,,0.9354838709677421,0.0967741935483871,97.0,46.774193548387096,,0.3548387096774194,,0.6774193548387096,0.2954838709677419,103.70967741935483,52.54838709677418,8.0,8.0,,11.870967741935484,8.419354838709678,5.838709677419355,84.54838709677419,38.064516129032256,1.7419354838709675,0.9354838709677421,67.64516129032258,25.48387096774193,,9.161290322580646,,,0.03225806451612903,94.70967741935483,,,0.0967741935483871,2.096774193548387,,,100.38709677419355,49.774193548387096,68.0,,,,0.0,,,6.0,0.0,23.0,0,185.42,185.42,,0.0,,0.0,13.866666666666667,,,1.7333333333333334,116.13333333333334,49.46666666666667,,,,35.6,0.2,13.733333333333333,11.2,,0.13333333333333333,124.33333333333331,,0.43,1.0,,,0.2773333333333333,133.0,,11.0,1.0,14.466666666666667,,,,,32.2,4.866666666666666,2.8,78.26666666666667,23.2,0.26666666666666666,6.0,,0.3333333333333333,0.13333333333333333,,35.73333333333333,0.34,,,,0.13133333333333336,,,,,,0.0,1.0,3.0,3.0,,1.0,,0,180.34,193.04,155.0,,35.0
1,True,Bantamweight,,0.0,,,17.0,14.0,13.75,,109.5,48.75,13.0,10.5,,,0.5,3.0,2.5,0.5,0.25,,,0.5499999999999999,0.25,2.5,,0.2875,154.75,86.75,,0.0,12.25,6.0,,3.75,94.25,26.75,1.75,1.25,,21.5,0.25,7.25,,0.0,,102.0,31.75,0.3375,0.0,,0.75,0.0975,104.75,,9.0,652.0,0.0,0.0,0.0,,,,,4.0,0,,,135.0,1.0,0.0,0.0,,10.25,,,104.875,41.0,,0.625,80.5,24.0,0.375,13.0,11.5,,0.0,,45.75,0.36625,0.0,,0.625,,,,5.0,2.0,,13.375,6.875,,,38.5,0.875,,77.375,,0.125,,11.125,0.0,0.0,110.875,44.875,0.44625,,2.375,0.0,0.0,115.125,48.875,,690.25,,0.0,,,1.0,,0.0,6.0,,,,135.0,,29.0
,False,Heavyweight,,0.0,1.0,0.0,,14.5,,2.0,201.0,59.5,0.0,0.0,184.5,45.0,0.0,,2.0,0.0,0.0,203.5,,0.31,,,0.0,0.0,204.0,62.0,1.0,1.0,42.5,23.5,0.5,0.5,,89.5,,0.0,152.5,,0.0,10.5,10.0,,0.0,205.5,90.0,0.43,0.0,0.5,0.0,0.0,,90.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,185.42,250.0,1.0,,0.0,7.75,,11.0,7.25,50.75,24.75,0.5,0.5,,22.75,,3.75,3.0,0.25,,62.25,32.5,,0.0,0.5,,,,32.75,3.0,1.0,6.25,4.75,4.5,3.5,,16.25,,2.75,,14.0,0.25,,3.75,0.75,0.0,,22.5,0.3975,,1.0,0.0,,60.5,27.75,,,0.0,,0.0,1.0,2.0,0.0,0.0,,0,187.96,,,32.0,26.0
0,False,Women's Strawweight,,,,,19.5,12.333333333333336,11.833333333333336,7.166666666666668,142.33333333333334,,6.0,4.166666666666667,,,,22.83333333333333,20.166666666666668,,,,,,,0.8333333333333334,0.3333333333333333,0.25,183.5,95.66666666666669,,2.0,12.0,,9.666666666666666,7.0,,38.333333333333336,,,86.66666666666669,33.166666666666664,,,8.333333333333334,,0.16666666666666666,110.0,,0.4266666666666666,,,,0.14,,68.66666666666667,,886.5,0.0,,0.0,,0.0,1.0,,4.0,0,165.1,162.56,115.0,,4.0,0.0,8.75,7.5,3.0,2.25,12.75,4.75,42.25,,44.75,31.25,0.0,4.5,,7.75,0.0,,42.75,0.6375,,,,0.8175000000000001,101.5,,,0.0,3.0,,,3.0,5.75,2.0,2.0,1.5,8.0,4.0,0.0,0.25,0.25,0.0,,11.25,6.5,0.54,,0.5,0.0,0.0,,,,,,0.0,,1.0,1.0,2.0,0.0,,0,165.1,167.64,115.0,33.0,28.0
0,False,Bantamweight,3,0.0,3.0,0.0,,,,3.4166666666666665,84.91666666666667,34.666666666666664,5.083333333333333,3.4166666666666665,,24.0,0.4166666666666667,,10.083333333333334,0.5833333333333334,0.08333333333333333,,41.5,,,2.75,0.5833333333333334,0.2333333333333333,102.66666666666669,47.5,4.0,4.0,,,,1.3333333333333333,,41.66666666666666,1.6666666666666667,1.1666666666666667,,,0.0,5.5,4.583333333333333,,,107.5,44.16666666666666,,0.0,2.1666666666666665,,,110.33333333333331,,23.0,495.25,,,,,3.0,3.0,0.0,8.0,,167.64,,135.0,,,,25.16666666666667,18.25,,11.083333333333336,72.58333333333333,29.41666666666667,16.083333333333332,11.75,63.0,,0.0,14.5,10.666666666666666,1.5,0.08333333333333333,102.66666666666669,52.25,0.49,0.75,,1.75,0.4175,138.33333333333334,85.75,,3.0,8.916666666666666,4.666666666666667,5.75,4.0,51.0,,1.8333333333333333,,43.41666666666666,8.916666666666666,0.25,6.25,,0.8333333333333334,,,,0.3058333333333333,,2.25,1.0833333333333333,0.25166666666666665,,,32.0,750.6666666666665,0.0,0.0,0.0,,1.0,3.0,,,0,170.18,180.34,135.0,,29.0
1,False,Women's Strawweight,3,,,0.0,16.25,11.0,,11.25,105.75,,3.0,2.5,94.25,,,15.75,13.0,,0.25,,53.75,0.5025,0.25,0.5,0.25,0.125,165.5,87.5,1.0,2.0,18.75,10.5,,6.25,101.0,27.0,4.75,,,23.5,,5.0,,,,,36.75,0.325,0.25,,2.0,0.38,132.75,,10.0,716.0,0.0,,,,0.0,0.0,,,0,,167.64,,2.0,0.0,0.0,,17.555555555555557,,,155.77777777777774,49.77777777777778,3.7777777777777777,,149.0,46.77777777777778,0.0,,9.222222222222221,,0.1111111111111111,187.11111111111111,73.55555555555556,0.38,0.0,,0.1111111111111111,0.05555555555555555,211.22222222222226,95.0,,,,14.666666666666664,,,,51.66666666666666,1.6666666666666667,1.5555555555555556,,38.22222222222222,0.1111111111111111,19.0,14.444444444444445,0.5555555555555556,0.1111111111111111,155.33333333333334,,,0.2222222222222222,4.777777777777779,,0.2711111111111111,,,25.0,800.1111111111113,1.0,0.0,2.0,,,0.0,0.0,,,160.02,162.56,115.0,25.0,
,False,Featherweight,3,0.0,1.0,0.0,7.25,,1.75,0.5,125.0,,8.75,5.0,122.25,,,6.0,5.0,0.0,0.0,,56.25,,0.0,1.5,,,139.25,59.0,,,20.75,,4.75,,162.5,72.5,0.0,0.0,123.5,42.75,,23.0,18.5,0.0,0.0,167.25,74.5,0.4125,0.0,1.0,,,168.75,75.75,10.0,,,,0.0,1.0,,0.0,0.0,,,,,,0.0,1.0,,8.333333333333334,,,,54.26666666666666,21.2,,4.666666666666667,,15.266666666666667,,,10.266666666666667,0.6666666666666666,0.4,68.4,,0.478,0.6666666666666666,,1.0666666666666669,,,43.53333333333333,4.0,,9.0,5.8,,5.133333333333334,,21.266666666666666,,,56.13333333333333,19.266666666666666,0.2,,4.2,0.9333333333333332,0.0,,,0.402,0.4666666666666667,2.0,1.1333333333333333,,88.66666666666669,,34.0,,,0.0,0.0,,4.0,,0.0,10.0,0,172.72,180.34,145.0,,37.0
,True,Women's Strawweight,,,,0.0,25.4,,,16.8,121.1,55.6,2.6,1.9,108.3,,,12.5,,0.1,0.1,146.2,,,0.0,0.8,0.3,0.25,,85.8,1.0,6.0,29.7,16.3,21.3,11.9,168.2,52.0,,1.2,149.5,,,,10.1,,0.0,191.2,,0.362,0.2,,1.2,0.364,208.6,,,763.1,0.0,0.0,,,0.0,,,,0,160.02,162.56,,,3.0,0.0,9.333333333333334,,,7.333333333333332,244.3333333333333,,1.3333333333333333,0.6666666666666666,,,,,21.33333333333333,,0.0,256.3333333333333,105.66666666666669,0.4033333333333333,0.0,0.3333333333333333,,0.0,,109.0,3.0,,21.33333333333333,11.333333333333336,10.0,6.0,175.33333333333337,53.0,,1.6666666666666667,,42.333333333333336,0.0,7.666666666666668,7.0,0.6666666666666666,,,60.66666666666666,0.32,0.0,2.0,,,,89.66666666666669,,,0.0,,0.0,3.0,0.0,0.0,,3.0,0,,,115.0,34.0,
